epoch=0, lrate=0.001, error=108595771.200
epoch=1, lrate=0.002, error=11243178.678
epoch=2, lrate=0.003, error=4305185.235
epoch=3, lrate=0.004, error=4692866.268
epoch=4, lrate=0.005, error=4704937.594
epoch=5, lrate=0.006, error=4702801.515
epoch=6, lrate=0.007, error=4702402.374
epoch=7, lrate=0.008, error=4702756.008
epoch=8, lrate=0.009, error=4703221.397
epoch=9, lrate=0.010, error=4703587.526
epoch=10, lrate=0.011, error=4703825.983
epoch=11, lrate=0.012, error=4703958.262
epoch=12, lrate=0.013, error=4704012.265
epoch=13, lrate=0.014, error=4704012.084
epoch=14, lrate=0.015, error=4703976.477
epoch=15, lrate=0.016, error=4703919.326
epoch=16, lrate=0.017, error=4703850.505
epoch=17, lrate=0.018, error=4703776.782
epoch=18, lrate=0.019, error=4703702.590
epoch=19, lrate=0.020, error=4703630.664
epoch=20, lrate=0.021, error=4703562.534
epoch=21, lrate=0.022, error=4703498.895
epoch=22, lrate=0.023, error=4703439.883
epoch=23, lrate=0.024, error=4703385.273
epoch=24, lrate=0.025, error=4703334.620
epoch=25, lrate=0.026, error=4703287.364
epoch=26, lrate=0.027, error=4703242.894
epoch=27, lrate=0.028, error=4703200.593
epoch=28, lrate=0.029, error=4703159.871
epoch=29, lrate=0.030, error=4703120.180
epoch=30, lrate=0.031, error=4703081.025
epoch=31, lrate=0.032, error=4703041.969
epoch=32, lrate=0.033, error=4703002.631
epoch=33, lrate=0.034, error=4702962.686
epoch=34, lrate=0.035, error=4702921.862
epoch=35, lrate=0.036, error=4702879.934
epoch=36, lrate=0.037, error=4702836.721
epoch=37, lrate=0.038, error=4702792.081
epoch=38, lrate=0.039, error=4702745.905
epoch=39, lrate=0.040, error=4702698.116
epoch=40, lrate=0.041, error=4702648.661
epoch=41, lrate=0.042, error=4702597.510
epoch=42, lrate=0.043, error=4702544.652
epoch=43, lrate=0.044, error=4702490.093
epoch=44, lrate=0.045, error=4702433.850
epoch=45, lrate=0.046, error=4702375.953
epoch=46, lrate=0.047, error=4702316.440
epoch=47, lrate=0.048, error=4702255.355
epoch=48, lrate=0.049, error=4702192.752
epoch=49, lrate=0.050, error=4702128.683
