epoch=0, lrate=0.001, error=38185488.663
epoch=1, lrate=0.002, error=4601437.585
epoch=2, lrate=0.003, error=1311376.771
epoch=3, lrate=0.004, error=1509698.528
epoch=4, lrate=0.005, error=1528652.927
epoch=5, lrate=0.006, error=1532220.660
epoch=6, lrate=0.007, error=1534389.863
epoch=7, lrate=0.008, error=1535859.949
epoch=8, lrate=0.009, error=1536851.130
epoch=9, lrate=0.010, error=1537509.527
epoch=10, lrate=0.011, error=1537938.180
epoch=11, lrate=0.012, error=1538208.548
epoch=12, lrate=0.013, error=1538369.442
epoch=13, lrate=0.014, error=1538454.239
epoch=14, lrate=0.015, error=1538485.997
epoch=15, lrate=0.016, error=1538480.822
epoch=16, lrate=0.017, error=1538450.077
epoch=17, lrate=0.018, error=1538401.840
epoch=18, lrate=0.019, error=1538341.891
epoch=19, lrate=0.020, error=1538274.385
epoch=20, lrate=0.021, error=1538202.316
epoch=21, lrate=0.022, error=1538127.844
epoch=22, lrate=0.023, error=1538052.525
epoch=23, lrate=0.024, error=1537977.472
epoch=24, lrate=0.025, error=1537903.474
epoch=25, lrate=0.026, error=1537831.078
epoch=26, lrate=0.027, error=1537760.654
epoch=27, lrate=0.028, error=1537692.440
epoch=28, lrate=0.029, error=1537626.573
epoch=29, lrate=0.030, error=1537563.120
epoch=30, lrate=0.031, error=1537502.091
epoch=31, lrate=0.032, error=1537443.457
epoch=32, lrate=0.033, error=1537387.161
epoch=33, lrate=0.034, error=1537333.125
epoch=34, lrate=0.035, error=1537281.258
epoch=35, lrate=0.036, error=1537231.459
epoch=36, lrate=0.037, error=1537183.622
epoch=37, lrate=0.038, error=1537137.641
epoch=38, lrate=0.039, error=1537093.407
epoch=39, lrate=0.040, error=1537050.814
epoch=40, lrate=0.041, error=1537009.760
epoch=41, lrate=0.042, error=1536970.144
epoch=42, lrate=0.043, error=1536931.872
epoch=43, lrate=0.044, error=1536894.852
epoch=44, lrate=0.045, error=1536858.999
epoch=45, lrate=0.046, error=1536824.231
epoch=46, lrate=0.047, error=1536790.472
epoch=47, lrate=0.048, error=1536757.651
epoch=48, lrate=0.049, error=1536725.702
epoch=49, lrate=0.050, error=1536694.562
