epoch=0, lrate=0.001, error=362472918.911
epoch=1, lrate=0.002, error=37773008.004
epoch=2, lrate=0.003, error=14966752.683
epoch=3, lrate=0.004, error=16155571.244
epoch=4, lrate=0.005, error=16182099.166
epoch=5, lrate=0.006, error=16165344.075
epoch=6, lrate=0.007, error=16155190.943
epoch=7, lrate=0.008, error=16149653.127
epoch=8, lrate=0.009, error=16146749.873
epoch=9, lrate=0.010, error=16145316.949
epoch=10, lrate=0.011, error=16144702.357
epoch=11, lrate=0.012, error=16144538.617
epoch=12, lrate=0.013, error=16144616.788
epoch=13, lrate=0.014, error=16144818.079
epoch=14, lrate=0.015, error=16145075.806
epoch=15, lrate=0.016, error=16145353.745
epoch=16, lrate=0.017, error=16145633.483
epoch=17, lrate=0.018, error=16145906.843
epoch=18, lrate=0.019, error=16146171.273
epoch=19, lrate=0.020, error=16146427.056
epoch=20, lrate=0.021, error=16146675.678
epoch=21, lrate=0.022, error=16146918.914
epoch=22, lrate=0.023, error=16147158.377
epoch=23, lrate=0.024, error=16147395.322
epoch=24, lrate=0.025, error=16147630.607
epoch=25, lrate=0.026, error=16147864.729
epoch=26, lrate=0.027, error=16148097.882
epoch=27, lrate=0.028, error=16148330.037
epoch=28, lrate=0.029, error=16148561.005
epoch=29, lrate=0.030, error=16148790.499
epoch=30, lrate=0.031, error=16149018.182
epoch=31, lrate=0.032, error=16149243.699
epoch=32, lrate=0.033, error=16149466.709
epoch=33, lrate=0.034, error=16149686.900
epoch=34, lrate=0.035, error=16149903.997
epoch=35, lrate=0.036, error=16150117.774
epoch=36, lrate=0.037, error=16150328.048
epoch=37, lrate=0.038, error=16150534.681
epoch=38, lrate=0.039, error=16150737.577
epoch=39, lrate=0.040, error=16150936.672
epoch=40, lrate=0.041, error=16151131.937
epoch=41, lrate=0.042, error=16151323.364
epoch=42, lrate=0.043, error=16151510.967
epoch=43, lrate=0.044, error=16151694.775
epoch=44, lrate=0.045, error=16151874.829
epoch=45, lrate=0.046, error=16152051.175
epoch=46, lrate=0.047, error=16152223.867
epoch=47, lrate=0.048, error=16152392.960
epoch=48, lrate=0.049, error=16152558.511
epoch=49, lrate=0.050, error=16152720.575
