>epoch=0, lrate=0.001, error=12507632.328
>epoch=1, lrate=0.002, error=5437967.891
>epoch=2, lrate=0.003, error=4241240.105
>epoch=3, lrate=0.004, error=3069531.850
>epoch=4, lrate=0.005, error=2000723.799
>epoch=5, lrate=0.006, error=1207861.927
>epoch=6, lrate=0.007, error=714758.423
>epoch=7, lrate=0.008, error=452921.907
>epoch=8, lrate=0.009, error=332013.171
>epoch=9, lrate=0.010, error=281726.319
>epoch=10, lrate=0.011, error=261118.073
>epoch=11, lrate=0.012, error=251085.122
>epoch=12, lrate=0.013, error=244284.612
>epoch=13, lrate=0.014, error=238375.750
>epoch=14, lrate=0.015, error=232757.679
>epoch=15, lrate=0.016, error=227329.732
>epoch=16, lrate=0.017, error=222106.177
>epoch=17, lrate=0.018, error=217116.521
>epoch=18, lrate=0.019, error=212384.119
>epoch=19, lrate=0.020, error=207922.898
>epoch=20, lrate=0.021, error=203737.751
>epoch=21, lrate=0.022, error=199825.695
>epoch=22, lrate=0.023, error=196177.197
>epoch=23, lrate=0.024, error=192777.560
>epoch=24, lrate=0.025, error=189608.266
>epoch=25, lrate=0.026, error=186648.245
>epoch=26, lrate=0.027, error=183875.011
>epoch=27, lrate=0.028, error=181265.651
>epoch=28, lrate=0.029, error=178797.640
>epoch=29, lrate=0.030, error=176449.487
>epoch=30, lrate=0.031, error=174201.213
>epoch=31, lrate=0.032, error=172034.674
>epoch=32, lrate=0.033, error=169933.752
>epoch=33, lrate=0.034, error=167884.426
>epoch=34, lrate=0.035, error=165874.752
>epoch=35, lrate=0.036, error=163894.775
>epoch=36, lrate=0.037, error=161936.387
>epoch=37, lrate=0.038, error=159993.155
>epoch=38, lrate=0.039, error=158060.129
>epoch=39, lrate=0.040, error=156133.647
>epoch=40, lrate=0.041, error=154211.145
>epoch=41, lrate=0.042, error=152290.977
>epoch=42, lrate=0.043, error=150372.250
>epoch=43, lrate=0.044, error=148454.677
>epoch=44, lrate=0.045, error=146538.453
>epoch=45, lrate=0.046, error=144624.142
>epoch=46, lrate=0.047, error=142712.587
>epoch=47, lrate=0.048, error=140804.837
>epoch=48, lrate=0.049, error=138902.083
>epoch=49, lrate=0.050, error=137005.610
