>epoch=0, lrate=0.001, error=37973739.338
>epoch=1, lrate=0.002, error=12646998.278
>epoch=2, lrate=0.003, error=2854979.569
>epoch=3, lrate=0.004, error=2206035.395
>epoch=4, lrate=0.005, error=1985790.119
>epoch=5, lrate=0.006, error=1812743.752
>epoch=6, lrate=0.007, error=1687539.332
>epoch=7, lrate=0.008, error=1596350.819
>epoch=8, lrate=0.009, error=1523106.532
>epoch=9, lrate=0.010, error=1456723.223
>epoch=10, lrate=0.011, error=1391796.249
>epoch=11, lrate=0.012, error=1326607.151
>epoch=12, lrate=0.013, error=1261162.428
>epoch=13, lrate=0.014, error=1196058.183
>epoch=14, lrate=0.015, error=1131993.098
>epoch=15, lrate=0.016, error=1069602.220
>epoch=16, lrate=0.017, error=1009411.676
>epoch=17, lrate=0.018, error=951831.861
>epoch=18, lrate=0.019, error=897162.665
>epoch=19, lrate=0.020, error=845603.318
>epoch=20, lrate=0.021, error=797264.536
>epoch=21, lrate=0.022, error=752181.778
>epoch=22, lrate=0.023, error=710328.755
>epoch=23, lrate=0.024, error=671630.461
>epoch=24, lrate=0.025, error=635975.173
>epoch=25, lrate=0.026, error=603224.931
>epoch=26, lrate=0.027, error=573224.159
>epoch=27, lrate=0.028, error=545806.120
>epoch=28, lrate=0.029, error=520796.989
>epoch=29, lrate=0.030, error=498017.410
>epoch=30, lrate=0.031, error=477281.662
>epoch=31, lrate=0.032, error=458395.191
>epoch=32, lrate=0.033, error=441152.727
>epoch=33, lrate=0.034, error=425341.935
>epoch=34, lrate=0.035, error=410759.386
>epoch=35, lrate=0.036, error=397226.182
>epoch=36, lrate=0.037, error=384430.916
>epoch=37, lrate=0.038, error=370628.738
>epoch=38, lrate=0.039, error=346161.278
>epoch=39, lrate=0.040, error=-263603.713
>epoch=40, lrate=0.041, error=292442375179771593315319808.000
>epoch=41, lrate=0.042, error=-65622549592989479678672789210034071614448781246462415875414757555724731081471542606033003789274626406744064.000
>epoch=42, lrate=0.043, error=-37442492005142401292368441178670603949266873898187857443461023093507741224587263536127943346901430018564480635173329369753795060763226384234630244503150350779155728130302652763852756386626561066594895706346701807546220779027325603583867212748364389773883361624384115052642304.000
>epoch=43, lrate=0.044, error=nan
>epoch=44, lrate=0.045, error=nan
>epoch=45, lrate=0.046, error=nan
>epoch=46, lrate=0.047, error=nan
>epoch=47, lrate=0.048, error=nan
>epoch=48, lrate=0.049, error=nan
>epoch=49, lrate=0.050, error=nan
