epoch=0, lrate=0.001, error=216722959.685
epoch=1, lrate=0.002, error=22034615.055
epoch=2, lrate=0.003, error=8956577.549
epoch=3, lrate=0.004, error=9658688.144
epoch=4, lrate=0.005, error=9672863.632
epoch=5, lrate=0.006, error=9663883.904
epoch=6, lrate=0.007, error=9658535.851
epoch=7, lrate=0.008, error=9655443.345
epoch=8, lrate=0.009, error=9653597.952
epoch=9, lrate=0.010, error=9652483.625
epoch=10, lrate=0.011, error=9651825.590
epoch=11, lrate=0.012, error=9651462.868
epoch=12, lrate=0.013, error=9651295.091
epoch=13, lrate=0.014, error=9651257.861
epoch=14, lrate=0.015, error=9651309.174
epoch=15, lrate=0.016, error=9651421.224
epoch=16, lrate=0.017, error=9651575.287
epoch=17, lrate=0.018, error=9651758.487
epoch=18, lrate=0.019, error=9651961.752
epoch=19, lrate=0.020, error=9652178.524
epoch=20, lrate=0.021, error=9652403.952
epoch=21, lrate=0.022, error=9652634.378
epoch=22, lrate=0.023, error=9652867.011
epoch=23, lrate=0.024, error=9653099.708
epoch=24, lrate=0.025, error=9653330.824
epoch=25, lrate=0.026, error=9653559.102
epoch=26, lrate=0.027, error=9653783.597
epoch=27, lrate=0.028, error=9654003.607
epoch=28, lrate=0.029, error=9654218.629
epoch=29, lrate=0.030, error=9654428.319
epoch=30, lrate=0.031, error=9654632.457
epoch=31, lrate=0.032, error=9654830.926
epoch=32, lrate=0.033, error=9655023.688
epoch=33, lrate=0.034, error=9655210.768
epoch=34, lrate=0.035, error=9655392.240
epoch=35, lrate=0.036, error=9655568.214
epoch=36, lrate=0.037, error=9655738.830
epoch=37, lrate=0.038, error=9655904.247
epoch=38, lrate=0.039, error=9656064.640
epoch=39, lrate=0.040, error=9656220.191
epoch=40, lrate=0.041, error=9656371.088
epoch=41, lrate=0.042, error=9656517.523
epoch=42, lrate=0.043, error=9656659.686
epoch=43, lrate=0.044, error=9656797.764
epoch=44, lrate=0.045, error=9656931.940
epoch=45, lrate=0.046, error=9657062.394
epoch=46, lrate=0.047, error=9657189.297
epoch=47, lrate=0.048, error=9657312.816
epoch=48, lrate=0.049, error=9657433.109
epoch=49, lrate=0.050, error=9657550.329
