>epoch=0, lrate=0.00, error=24856023.752
>epoch=1, lrate=0.00, error=5709912.513
>epoch=2, lrate=0.00, error=4661286.646
>epoch=3, lrate=0.00, error=4113706.182
>epoch=4, lrate=0.00, error=3496489.858
>epoch=5, lrate=0.01, error=2851565.563
>epoch=6, lrate=0.01, error=2239180.273
>epoch=7, lrate=0.01, error=1702813.866
>epoch=8, lrate=0.01, error=1265580.052
>epoch=9, lrate=0.01, error=931913.902
>epoch=10, lrate=0.01, error=692515.518
>epoch=11, lrate=0.01, error=530435.114
>epoch=12, lrate=0.01, error=426492.284
>epoch=13, lrate=0.01, error=363033.788
>epoch=14, lrate=0.01, error=325855.892
>epoch=15, lrate=0.02, error=304658.372
>epoch=16, lrate=0.02, error=292600.736
>epoch=17, lrate=0.02, error=285483.302
>epoch=18, lrate=0.02, error=280908.243
>epoch=19, lrate=0.02, error=277597.535
>epoch=20, lrate=0.02, error=274913.924
>epoch=21, lrate=0.02, error=272559.969
>epoch=22, lrate=0.02, error=270405.835
>epoch=23, lrate=0.02, error=268398.597
>epoch=24, lrate=0.02, error=266517.953
>epoch=25, lrate=0.03, error=264756.117
>epoch=26, lrate=0.03, error=263109.312
>epoch=27, lrate=0.03, error=261574.448
>epoch=28, lrate=0.03, error=260147.960
>epoch=29, lrate=0.03, error=258825.505
>epoch=30, lrate=0.03, error=257601.967
>epoch=31, lrate=0.03, error=256471.582
>epoch=32, lrate=0.03, error=255428.089
>epoch=33, lrate=0.03, error=254464.893
>epoch=34, lrate=0.03, error=253575.219
>epoch=35, lrate=0.04, error=252752.249
>epoch=36, lrate=0.04, error=251989.244
>epoch=37, lrate=0.04, error=251279.655
>epoch=38, lrate=0.04, error=250617.201
>epoch=39, lrate=0.04, error=249995.939
>epoch=40, lrate=0.04, error=249410.316
>epoch=41, lrate=0.04, error=248855.195
>epoch=42, lrate=0.04, error=248325.879
>epoch=43, lrate=0.04, error=247818.113
>epoch=44, lrate=0.04, error=247328.080
>epoch=45, lrate=0.05, error=246852.389
>epoch=46, lrate=0.05, error=246388.052
>epoch=47, lrate=0.05, error=245932.461
