>epoch=0, lrate=0.001, error=100320172.398
>epoch=1, lrate=0.002, error=48877350.009
>epoch=2, lrate=0.003, error=16297787.566
>epoch=3, lrate=0.004, error=6258282.387
>epoch=4, lrate=0.005, error=4937288.930
>epoch=5, lrate=0.006, error=4704930.376
>epoch=6, lrate=0.007, error=4553964.985
>epoch=7, lrate=0.008, error=4439186.787
>epoch=8, lrate=0.009, error=4354732.987
>epoch=9, lrate=0.010, error=4291643.126
>epoch=10, lrate=0.011, error=4241092.916
>epoch=11, lrate=0.012, error=4196454.585
>epoch=12, lrate=0.013, error=4153628.995
>epoch=13, lrate=0.014, error=4110492.248
>epoch=14, lrate=0.015, error=4066156.217
>epoch=15, lrate=0.016, error=4020387.032
>epoch=16, lrate=0.017, error=3973251.250
>epoch=17, lrate=0.018, error=3924936.022
>epoch=18, lrate=0.019, error=3875669.843
>epoch=19, lrate=0.020, error=3825691.294
>epoch=20, lrate=0.021, error=3775237.408
>epoch=21, lrate=0.022, error=3724539.073
>epoch=22, lrate=0.023, error=3673818.723
>epoch=23, lrate=0.024, error=3623288.765
>epoch=24, lrate=0.025, error=3573150.305
>epoch=25, lrate=0.026, error=3523592.068
>epoch=26, lrate=0.027, error=3474789.498
>epoch=27, lrate=0.028, error=3426904.022
>epoch=28, lrate=0.029, error=3380082.499
>epoch=29, lrate=0.030, error=3334456.827
>epoch=30, lrate=0.031, error=3290143.729
>epoch=31, lrate=0.032, error=3247244.692
>epoch=32, lrate=0.033, error=3205846.063
>epoch=33, lrate=0.034, error=3166019.291
>epoch=34, lrate=0.035, error=3127821.308
>epoch=35, lrate=0.036, error=3091295.022
epoch=36, lrate=0.037, error=2145641.251
>epoch=37, lrate=0.038, error=2127869.872
>epoch=38, lrate=0.039, error=2110377.269
>epoch=39, lrate=0.040, error=2093190.979
