epoch=0, lrate=0.001, error=555885200.415
epoch=1, lrate=0.002, error=63172375.214
epoch=2, lrate=0.003, error=23086844.691
epoch=3, lrate=0.004, error=25083691.610
epoch=4, lrate=0.005, error=25165726.561
epoch=5, lrate=0.006, error=25156837.081
epoch=6, lrate=0.007, error=25152327.616
epoch=7, lrate=0.008, error=25150107.885
epoch=8, lrate=0.009, error=25148836.322
epoch=9, lrate=0.010, error=25148021.729
epoch=10, lrate=0.011, error=25147477.273
epoch=11, lrate=0.012, error=25147114.277
epoch=12, lrate=0.013, error=25146873.856
epoch=13, lrate=0.014, error=25146710.170
epoch=14, lrate=0.015, error=25146588.561
epoch=15, lrate=0.016, error=25146485.670
epoch=16, lrate=0.017, error=25146388.391
epoch=17, lrate=0.018, error=25146291.657
epoch=18, lrate=0.019, error=25146195.816
epoch=19, lrate=0.020, error=25146104.216
epoch=20, lrate=0.021, error=25146021.342
epoch=21, lrate=0.022, error=25145951.582
epoch=22, lrate=0.023, error=25145898.519
epoch=23, lrate=0.024, error=25145864.634
epoch=24, lrate=0.025, error=25145851.268
epoch=25, lrate=0.026, error=25145858.722
epoch=26, lrate=0.027, error=25145886.444
epoch=27, lrate=0.028, error=25145933.226
epoch=28, lrate=0.029, error=25145997.401
epoch=29, lrate=0.030, error=25146077.013
epoch=30, lrate=0.031, error=25146169.971
epoch=31, lrate=0.032, error=25146274.159
epoch=32, lrate=0.033, error=25146387.529
epoch=33, lrate=0.034, error=25146508.164
epoch=34, lrate=0.035, error=25146634.319
epoch=35, lrate=0.036, error=25146764.443
epoch=36, lrate=0.037, error=25146897.186
epoch=37, lrate=0.038, error=25147031.402
epoch=38, lrate=0.039, error=25147166.131
epoch=39, lrate=0.040, error=25147300.586
epoch=40, lrate=0.041, error=25147434.137
epoch=41, lrate=0.042, error=25147566.285
epoch=42, lrate=0.043, error=25147696.644
epoch=43, lrate=0.044, error=25147824.924
epoch=44, lrate=0.045, error=25147950.910
epoch=45, lrate=0.046, error=25148074.449
epoch=46, lrate=0.047, error=25148195.436
epoch=47, lrate=0.048, error=25148313.801
epoch=48, lrate=0.049, error=25148429.501
epoch=49, lrate=0.050, error=25148542.513
