epoch=0, lrate=0.001, error=23018249.948
epoch=1, lrate=0.002, error=4798906.116
epoch=2, lrate=0.003, error=3948949.305
epoch=3, lrate=0.004, error=3447500.187
epoch=4, lrate=0.005, error=2872939.457
epoch=5, lrate=0.006, error=2283402.207
epoch=6, lrate=0.007, error=1738795.460
epoch=7, lrate=0.008, error=1277587.615
epoch=8, lrate=0.009, error=915971.754
epoch=9, lrate=0.010, error=651836.558
epoch=10, lrate=0.011, error=471315.563
epoch=11, lrate=0.012, error=355463.074
epoch=12, lrate=0.013, error=285388.022
epoch=13, lrate=0.014, error=245237.741
epoch=14, lrate=0.015, error=223258.692
epoch=15, lrate=0.016, error=211573.809
epoch=16, lrate=0.017, error=205350.598
epoch=17, lrate=0.018, error=201854.405
epoch=18, lrate=0.019, error=199651.104
epoch=19, lrate=0.020, error=198041.993
epoch=20, lrate=0.021, error=196710.802
epoch=21, lrate=0.022, error=195524.951
epoch=22, lrate=0.023, error=194433.417
epoch=23, lrate=0.024, error=193418.453
epoch=24, lrate=0.025, error=192474.512
epoch=25, lrate=0.026, error=191599.743
epoch=26, lrate=0.027, error=190792.863
epoch=27, lrate=0.028, error=190052.151
epoch=28, lrate=0.029, error=189375.218
epoch=29, lrate=0.030, error=188759.046
epoch=30, lrate=0.031, error=188200.109
epoch=31, lrate=0.032, error=187694.502
epoch=32, lrate=0.033, error=187238.075
epoch=33, lrate=0.034, error=186826.552
epoch=34, lrate=0.035, error=186455.634
epoch=35, lrate=0.036, error=186121.085
epoch=36, lrate=0.037, error=185818.806
epoch=37, lrate=0.038, error=185544.894
epoch=38, lrate=0.039, error=185295.680
epoch=39, lrate=0.040, error=185067.764
epoch=40, lrate=0.041, error=184858.029
epoch=41, lrate=0.042, error=184663.650
epoch=42, lrate=0.043, error=184482.094
epoch=43, lrate=0.044, error=184311.115
epoch=44, lrate=0.045, error=184148.736
epoch=45, lrate=0.046, error=183993.238
epoch=46, lrate=0.047, error=183843.138
epoch=47, lrate=0.048, error=183697.170
epoch=48, lrate=0.049, error=183554.263
epoch=49, lrate=0.050, error=183413.517
