>epoch=0, lrate=0.00, error=10512107.436
>epoch=1, lrate=0.00, error=5190547.130
>epoch=2, lrate=0.00, error=3812533.632
>epoch=3, lrate=0.00, error=2393108.515
>epoch=4, lrate=0.00, error=1330943.507
>epoch=5, lrate=0.01, error=731132.928
>epoch=6, lrate=0.01, error=464892.923
>epoch=7, lrate=0.01, error=367447.679
>epoch=8, lrate=0.01, error=334210.418
>epoch=9, lrate=0.01, error=320008.808
>epoch=10, lrate=0.01, error=310467.023
>epoch=11, lrate=0.01, error=302149.580
>epoch=12, lrate=0.01, error=294476.781
>epoch=13, lrate=0.01, error=287409.926
>epoch=14, lrate=0.01, error=280958.601
>epoch=15, lrate=0.02, error=275105.752
>epoch=16, lrate=0.02, error=269806.376
>epoch=17, lrate=0.02, error=264996.326
>epoch=18, lrate=0.02, error=260601.372
>epoch=19, lrate=0.02, error=256544.811
>epoch=20, lrate=0.02, error=252753.193
>epoch=21, lrate=0.02, error=249160.136
>epoch=22, lrate=0.02, error=245708.468
>epoch=23, lrate=0.02, error=242351.012
>epoch=24, lrate=0.02, error=239050.399
>epoch=25, lrate=0.03, error=235778.249
>epoch=26, lrate=0.03, error=232514.018
>epoch=27, lrate=0.03, error=229243.734
>epoch=28, lrate=0.03, error=225958.767
>epoch=29, lrate=0.03, error=222654.734
>epoch=30, lrate=0.03, error=219330.569
>epoch=31, lrate=0.03, error=215987.783
>epoch=32, lrate=0.03, error=212629.872
>epoch=33, lrate=0.03, error=209261.874
>epoch=34, lrate=0.03, error=205890.027
>epoch=35, lrate=0.04, error=202521.499
>epoch=36, lrate=0.04, error=199164.184
>epoch=37, lrate=0.04, error=195826.539
>epoch=38, lrate=0.04, error=192517.490
>epoch=39, lrate=0.04, error=189246.466
>epoch=40, lrate=0.04, error=186023.668
>epoch=41, lrate=0.04, error=182860.862
>epoch=42, lrate=0.04, error=179773.264
>epoch=43, lrate=0.04, error=176783.746
>epoch=44, lrate=0.04, error=173931.968
>epoch=45, lrate=0.05, error=171293.875
>epoch=46, lrate=0.05, error=169022.924
>epoch=47, lrate=0.05, error=167436.115
