>epoch=0, lrate=0.001, error=58528939.196
>epoch=1, lrate=0.002, error=25623504.929
>epoch=2, lrate=0.003, error=17444184.953
>epoch=3, lrate=0.004, error=9838310.409
>epoch=4, lrate=0.005, error=4954928.372
>epoch=5, lrate=0.006, error=2685829.938
>epoch=6, lrate=0.007, error=1887047.945
>epoch=7, lrate=0.008, error=1656172.079
>epoch=8, lrate=0.009, error=1585158.862
>epoch=9, lrate=0.010, error=1549227.630
>epoch=10, lrate=0.011, error=1521325.871
>epoch=11, lrate=0.012, error=1497335.917
>epoch=12, lrate=0.013, error=1476807.894
>epoch=13, lrate=0.014, error=1459539.896
>epoch=14, lrate=0.015, error=1445198.349
>epoch=15, lrate=0.016, error=1433349.958
>epoch=16, lrate=0.017, error=1423524.330
>epoch=17, lrate=0.018, error=1415264.091
>epoch=18, lrate=0.019, error=1408158.210
>epoch=19, lrate=0.020, error=1401859.822
>epoch=20, lrate=0.021, error=1396091.597
>epoch=21, lrate=0.022, error=1390642.410
>epoch=22, lrate=0.023, error=1385358.875
>epoch=23, lrate=0.024, error=1380134.688
>epoch=24, lrate=0.025, error=1374899.832
>epoch=25, lrate=0.026, error=1369610.943
>epoch=26, lrate=0.027, error=1364243.387
>epoch=27, lrate=0.028, error=1358785.171
>epoch=28, lrate=0.029, error=1353232.526
>epoch=29, lrate=0.030, error=1347586.839
>epoch=30, lrate=0.031, error=1341852.620
>epoch=31, lrate=0.032, error=1336036.205
>epoch=32, lrate=0.033, error=1330144.958
>epoch=33, lrate=0.034, error=1324186.784
>epoch=34, lrate=0.035, error=1318169.854
>epoch=35, lrate=0.036, error=1312102.435
>epoch=36, lrate=0.037, error=1305992.799
>epoch=37, lrate=0.038, error=1299849.158
>epoch=38, lrate=0.039, error=1293679.631
>epoch=39, lrate=0.040, error=1287492.211
>epoch=40, lrate=0.041, error=1281294.749
>epoch=41, lrate=0.042, error=1275094.930
>epoch=42, lrate=0.043, error=1268900.260
>epoch=43, lrate=0.044, error=1262718.052
>epoch=44, lrate=0.045, error=1256555.412
>epoch=45, lrate=0.046, error=1250419.225
>epoch=46, lrate=0.047, error=1244316.147
>epoch=47, lrate=0.048, error=1238252.591
>epoch=48, lrate=0.049, error=1232234.723
>epoch=49, lrate=0.050, error=1226268.450
